title,severity,confidence,category,agent_name,affected_files,why_it_matters,suggested_remediation
Phase-2 contract registry still describes legacy conditional and bridge stages that the planner no longer schedules,high,verified,contract_integrity,architecture_contracts,project/contracts/pipeline_registry.py; project/pipelines/stages/research.py; project/pipelines/research/README.md; project/tests/pipelines/test_pipeline_discovery_mode.py,"Governance/docs describe a discovery chain that does not actually execute, so operator expectations and contract audits can be wrong before runtime starts.",Either remove legacy conditional/bridge stages from the registry/docs or restore explicit scheduling paths and end-to-end planner tests.
Strategy packaging stages point at nonexistent wrapper scripts while contract validation still reports the plan valid,critical,verified,correctness,architecture_contracts,project/pipelines/stages/evaluation.py; project/contracts/pipeline_registry.py; project/tests/pipelines/test_stage_registry_contract.py,A plan can pass the contract layer and then fail only at execution time when Python cannot open the stage script.,"Point the planner and registry at real implementations under project/research/* or restore the missing wrappers, then make the registry validator reject nonexistent scripts."
"README declares docs/generated authoritative, but required generated artifacts are missing and build_system_map --check fails",high,verified,artifact_integrity,architecture_contracts,README.md; docs/generated/; project/scripts/build_system_map.py; project/scripts/regenerate_artifacts.sh,"Governance-facing generated artifacts are incomplete and not reproducible from the checked-in regeneration path, so artifact trust is lower than the docs claim.",Narrow the documented generated surface or commit and continuously check the full declared set in CI.
"System-map ownership points to services, but run_all actually executes wrappers and CLI modules",medium,verified,architecture,architecture_contracts,project/contracts/stage_dag.py; project/contracts/system_map.py; project/pipelines/run_all.py; project/pipelines/research/phase2_search_engine.py; project/research/cli/promotion_cli.py,"The declared boundary map is not the real orchestration graph, which hides ownership and upgrade risk.",Either make wrappers call services directly as the canonical surface or update the stage_dag/system_map to reflect the actual wrapper chain.
Stage contracts are enforced by naming and glob patterns rather than executable or artifact proof,medium,verified,maintainability,architecture_contracts,project/contracts/pipeline_registry.py; project/tests/pipelines/test_stage_registry_contract.py,High-leverage failures survive planning and contract checks until runtime or later artifact review.,Add existence/import checks and at least one artifact-level smoke assertion per stage family.
Search evaluator counts validation events whose forward-return horizon exits in the test split,high,verified,statistical_integrity,research_inference,project/research/search/search_feature_utils.py; project/research/search/evaluator.py,"Holdout statistics can incorporate future test data while still being labeled as validation, biasing discovery and promotion evidence.",Use event-window-aware split assignment or drop events whose realized horizon crosses a split boundary.
Shift placebo construction uses the previous event timestamp instead of a true bar-offset timestamp,high,verified,statistical_integrity,research_inference,project/research/validation/falsification.py; project/research/services/candidate_discovery_scoring.py,The placebo no longer represents a bar-shift null and can duplicate real event timing structure.,"Shift by bar-duration or bar index, not by previous-row timestamp reuse."
Confirmatory placebo pass/fail can be driven by train rows because placebo frames are not restricted to evaluation splits,high,verified,statistical_integrity,research_inference,project/research/services/candidate_discovery_scoring.py,Discovery-vs-confirmatory separation collapses inside the falsification path.,Filter placebo frames to evaluation rows before placebo gating.
Run comparison treats explicit zero-valued split knobs as unavailable instead of mismatches,high,verified,contract_integrity,research_inference,project/research/services/run_comparison_service.py,Runs with materially different purge/embargo/entry-lag contracts can compare as compatible.,Treat explicit zero as meaningful and compare presence separately from value.
Promotion output assembly can silently drop malformed evidence bundles without failing closed,medium,likely,artifact_integrity,research_inference,project/research/services/promotion_service.py,A promoted candidate can survive while its evidence bundle artifact is missing or malformed.,"Make promotion assembly fail when promoted rows lack valid evidence bundles, or emit a blocking integrity error on count mismatch."
